Data,Dia,Conteúdo A,Conteúdo B,Disciplinas,Lugar
24/03/2026,terça-feira,Lançamento da Lista 02 de IP,,SD e MD,E232 e E233
25/03/2026,quarta-feira,,,IP e CAD,Grad05 e E131
26/03/2026,quinta-feira,MP 4: Funções Especiais (Piso;Teto;Fracionária;Modular),,MD e SD,E233 e E232
27/03/2026,sexta-feira,,,IP ,Grad05
28/03/2026,sábado,,,,
29/03/2026,domingo,,,,
30/03/2026,segunda-feira,Entrega Projeto 2 SD,,CAD e IP,E131 e Grad05
31/03/2026,terça-feira,,,SD e MD,E232 e E233
ABRIL,,,,,
01/04/2026,quarta-feira,Prova IP Comandos Condicionais + Laços de repetição,,IP e CAD,Grad05 e E131
02/04/2026,quinta-feira,MP 5: Endorrelações,,MD e SD,E233 e E232
03/04/2026,sexta-feira,FERIADO: Sexta-Feira Santa,,,
04/04/2026,sábado,,,,
05/04/2026,domingo,,,,
06/04/2026,segunda-feira,Entrega Projeto 3 SD,,CAD e IP,E131 e Grad05
07/04/2026,terça-feira,Lançamento da Lista 03 de IP,,SD e MD,E232 e E233
08/04/2026,quarta-feira,Roda: Acessibilidade nas Tecnologias de CAD,,IP e CAD,Grad05 e E131
09/04/2026,quinta-feira,MP 6: Elementos de Aritmética Modular,,MD e SD,E233 e E232
10/04/2026,sexta-feira,,,IP ,Grad05
11/04/2026,sábado,,,,
12/04/2026,domingo,,,,
13/04/2026,segunda-feira,Entrega Projeto 4 SD,,CAD e IP,E131 e Grad05
14/04/2026,terça-feira,,,SD e MD,E232 e E233
15/04/2026,quarta-feira,Projeto: definição do ator colaborador e da rede de atores de CAD,,IP e CAD,Grad05 e E131
16/04/2026,quinta-feira,MP 7: Princípio Aditivo e Princípio Multiplicativo da Contagem ,,MD e SD,E233 e E232
17/04/2026,sexta-feira,,,IP ,Grad05
18/04/2026,sábado,,,,
19/04/2026,domingo,,,,
20/04/2026,segunda-feira,Entrega Projeto 5 SD,,CAD e IP,E131 e Grad05
21/04/2026,terça-feira,FERIADO: Tiradentes ,Lançamento da Lista 04 de IP,,
